Date,Revenue,COGS,is_holiday,log_Revenue,log_COGS,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_lag_7,revenue_lag_14,revenue_lag_30,cogs_lag_1,cogs_lag_7,cogs_lag_30,rev_roll7_mean,rev_roll7_std,rev_roll7_max,rev_roll14_mean,rev_roll30_mean,rev_roll30_std,rev_roll30_max,day_of_week,month,day_of_month,week_of_year,quarter,is_weekend,days_to_tet,pre_tet_7d,pre_tet_14d,on_tet,post_tet,promo_count,promo_active,promo_intensity,post_promo,sessions,sessions_lag7,sessions_lag14,sessions_roll7_mean,sessions_vs_avg,sessions_spike
2012-07-14,3820831.41,3075464.87,0,15.15597886522114,14.938966950186444,5309511.71,5734632.02,5582884.78,2667930.94,,,4143402.78,2108246.62,,4348448.061428571,1447389.8166826884,5734632.02,,,,,5,7,14,28,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-15,3948841.28,3154482.05,0,15.188933000246074,14.964335189502291,3820831.41,5309511.71,5734632.02,2360851.9,,,3075464.87,1808622.79,,4513148.128571428,1280233.2104772015,5734632.02,,,,,6,7,15,28,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-16,3503801.49,2708219.59,0,15.069359362440608,14.81180236833779,3948841.28,3820831.41,5309511.71,3548386.46,,,3154482.05,2787841.68,,4740003.754285715,927343.9921488013,5734632.02,,,,,0,7,16,29,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-17,4476729.49,3463061.65,0,15.314403536617249,15.057663914471275,3503801.49,3948841.28,3820831.41,5234938.62,,,2708219.59,4044438.84,,4733634.472857143,936995.3367555395,5734632.02,,,,,1,7,17,29,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-18,5184141.46,4072012.16,0,15.461114997346536,15.219648069034385,4476729.49,3503801.49,3948841.28,5582884.78,5123547.94,,3463061.65,4338313.07,,4625318.882857143,912901.0552103135,5734632.02,4079906.493571428,,,,2,7,18,29,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-19,6421487.11,5007270.91,0,15.675160441641228,15.426401795809204,5184141.46,4476729.49,3503801.49,5734632.02,2751773.45,,4072012.16,4458811.27,,4568355.551428571,853714.0912005331,5734632.02,4084234.602142857,,,,3,7,19,29,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-20,5171470.46,4213989.64,0,15.458667821076462,15.253920652176268,6421487.11,5184141.46,4476729.49,5309511.71,3054029.42,,5007270.91,4143402.78,,4666477.707142857,1031137.4437340152,6421487.11,4346357.006428571,,,,4,7,20,29,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-21,3442157.02,2746075.45,0,15.051609164054844,14.82568370541778,5171470.46,6421487.11,5184141.46,3820831.41,2667930.94,,4213989.64,3075464.87,,4646757.528571429,1018026.6303597243,6421487.11,4497602.795,,,,5,7,21,29,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-22,3117550.57,2531656.38,0,14.952558498500553,14.744384737134409,3442157.02,5171470.46,6421487.11,3948841.28,2360851.9,,2746075.45,3154482.05,,4592661.187142857,1077550.6835372702,6421487.11,4552904.657857143,,,,6,7,22,29,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-23,4730517.69,3685006.66,0,15.36954541407539,15.119783162300836,3117550.57,3442157.02,5171470.46,3503801.49,3548386.46,,2531656.38,2708219.59,,4473905.371428572,1199265.0184704945,6421487.11,4606954.562857143,,,,0,7,23,30,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-24,4096496.12,3248450.65,0,15.22564280552458,14.99368902539944,4730517.69,3117550.57,3442157.02,4476729.49,5234938.62,,3685006.66,3463061.65,,4649150.542857142,1120951.363625175,6421487.11,4691392.507857143,,,,1,7,24,30,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-25,5246688.08,4140019.37,0,15.473107784194976,15.236211266079248,4096496.12,4730517.69,3117550.57,5184141.46,5582884.78,,3248450.65,4072012.16,,4594831.49,1139754.0475025706,6421487.11,4610075.186428571,,,,2,7,25,30,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-26,5851965.06,4579171.74,0,15.582288241378745,15.33702891532166,5246688.08,4096496.12,4730517.69,6421487.11,5734632.02,,4140019.37,5007270.91,,4603766.721428571,1145375.3123940935,6421487.11,4586061.136428571,,,,3,7,26,30,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-27,5156699.45,3989402.2,0,15.455807485249466,15.199152203743912,5851965.06,5246688.08,4096496.12,5171470.46,5309511.71,,4579171.74,4213989.64,,4522406.428571428,1006550.4489806435,5851965.06,4594442.0678571435,,,,4,7,27,30,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-28,4326956.84,3403662.59,0,15.280375275688328,15.04036293594202,5156699.45,5851965.06,5246688.08,3442157.02,3820831.41,,3989402.2,2746075.45,,4520296.284285714,1004977.2127794027,5851965.06,4583526.906428571,,,,5,7,28,30,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-29,4804199.65,3819645.91,0,15.385001228587052,15.15566854437349,4326956.84,5156699.45,5851965.06,3117550.57,3948841.28,,3403662.59,2531656.38,,4646696.258571428,896570.5384278942,5851965.06,4619678.722857143,,,,6,7,29,30,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-30,6586130.95,5195109.56,0,15.700476776640311,15.463228464290932,4804199.65,4326956.84,5156699.45,4730517.69,3503801.49,,3819645.91,3685006.66,,4887646.127142857,592052.2625500921,5851965.06,4680775.749285715,,,,0,7,30,31,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-31,9151622.14,7142891.18,0,16.02944181386927,15.781628319525076,6586130.95,4804199.65,4326956.84,4096496.12,4476729.49,,5195109.56,3248450.65,,5152733.735714287,863270.5790320875,6586130.95,4900942.139285714,,,,1,7,31,31,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-01,9148357.3,7308514.33,0,16.029085000388847,15.804550709866923,9151622.14,6586130.95,4804199.65,5246688.08,5184141.46,,7142891.18,4140019.37,,5874894.595714286,1617419.3937052812,9151622.14,5234863.042857143,,,,2,8,1,31,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-02,9692427.0,7537501.15,0,16.08685552007559,15.835401405258002,9148357.3,9151622.14,6586130.95,5851965.06,6421487.11,,7308514.33,4579171.74,,6432275.912857143,1993425.4476431636,9151622.14,5518021.317142857,,,,3,8,2,31,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-03,9297269.95,7118808.46,0,16.045231468823154,15.77825105873274,9692427.0,9148357.3,9151622.14,5156699.45,5171470.46,5123547.94,7537501.15,3989402.2,3982991.19,6980913.332857142,2310385.0107198316,9692427.0,5751659.880714285,4974918.593666667,1844023.3092540554,9692427.0,4,8,3,31,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-04,6384195.03,5087528.11,0,15.669336124093984,15.44230283058394,9297269.95,9692427.0,9148357.3,4326956.84,3442157.02,2751773.45,7118808.46,3403662.59,2150580.23,7572423.404285714,2295496.8932570275,9692427.0,6046359.844285714,5114042.660666666,2005958.3862320203,9692427.0,5,8,4,31,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-05,2359224.19,1863413.11,0,14.673843813774456,14.43792090614968,6384195.03,9297269.95,9692427.0,4804199.65,3117550.57,3054029.42,5087528.11,3819645.91,2517632.84,7866314.574285715,1910063.9270562544,9692427.0,6256505.4164285725,5235123.38,1967716.6652938,9692427.0,6,8,5,31,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-06,3630003.7,2922718.71,0,15.104744501006037,14.888025148287864,2359224.19,6384195.03,9297269.95,6586130.95,4730517.69,2667930.94,1863413.11,5195109.56,2108246.62,7517032.365714286,2645359.947002691,9692427.0,6202339.246428572,5211963.205666666,1998127.492824161,9692427.0,0,8,6,32,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-07,2240253.44,1781265.84,0,14.622100006666162,14.392835376989495,3630003.7,2359224.19,6384195.03,9151622.14,4096496.12,2360851.9,2922718.71,7142891.18,1808622.79,7094728.472857143,3027144.029501683,9692427.0,6123731.104285715,5244032.297666667,1963305.918498959,9692427.0,1,8,7,32,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-08,2617553.36,1997006.42,0,14.777750989419488,14.50716032796441,2240253.44,3630003.7,2359224.19,9148357.3,5246688.08,3548386.46,1781265.84,7308514.33,2787841.68,6107390.087142857,3353924.6295311223,9692427.0,5991142.341428571,5240012.349,1969526.5244025954,9692427.0,2,8,8,32,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-09,4478691.52,3621672.71,0,15.314841713580904,15.102446827779472,2617553.36,2240253.44,3630003.7,9692427.0,5851965.06,5234938.62,1997006.42,7537501.15,4044438.84,5174418.095714286,3274428.300186271,9692427.0,5803347.004285715,5208984.578999999,2004123.494928018,9692427.0,3,8,9,32,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-10,3412496.65,2699279.56,0,15.042955029830429,14.808495836208722,4478691.52,2617553.36,2240253.44,9297269.95,5156699.45,5582884.78,3621672.71,7118808.46,4338313.07,4429598.741428571,2598705.577580388,9297269.95,5705256.037142857,5183776.342333334,2008537.0314000666,9692427.0,4,8,10,32,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-11,2732604.35,2168668.05,0,14.820766052726956,14.589624196332272,3412496.65,4478691.52,2617553.36,6384195.03,4326956.84,5734632.02,2699279.56,5087528.11,4458811.27,3588916.8414285714,1467008.0290852978,6384195.03,5580670.122857143,5111430.071333334,2032609.4482495252,9692427.0,5,8,11,32,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-12,3388181.83,2654275.25,0,15.035804297288632,14.791682576626297,2732604.35,3412496.65,4478691.52,2359224.19,4804199.65,5309511.71,2168668.05,1863413.11,4143402.78,3067261.0300000003,809062.50033577,4478691.52,5466787.802142858,5011362.482333333,2074338.7760498098,9692427.0,6,8,12,32,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-13,3928170.01,3189564.96,0,15.183684483659537,14.975395402807736,3388181.83,2732604.35,3412496.65,3630003.7,6586130.95,3820831.41,2654275.25,2922718.71,3075464.87,3214254.978571429,750323.9548528937,4478691.52,5365643.672142857,4947318.153,2094379.437030661,9692427.0,0,8,13,33,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-14,4033912.16,3258198.58,0,15.210247470244257,14.996685324708666,3928170.01,3388181.83,2732604.35,2240253.44,9151622.14,3948841.28,3189564.96,1781265.84,3154482.05,3256850.1657142853,785498.0846902754,4478691.52,5175789.319285714,4950896.106333333,2092479.4570257878,9692427.0,1,8,14,33,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-15,3780293.26,2886923.59,0,15.145312411126731,14.875702337763572,4033912.16,3928170.01,3388181.83,2617553.36,9148357.3,3503801.49,3258198.58,1997006.42,2708219.59,3513087.125714286,684689.495179207,4478691.52,4810238.606428571,4953731.8023333335,2091131.8706407428,9692427.0,2,8,15,33,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-16,5249978.18,4222455.97,0,15.473734668845657,15.255927736966814,3780293.26,4033912.16,3928170.01,4478691.52,9692427.0,4476729.49,2886923.59,3621672.71,3463061.65,3679192.825714286,561111.8273141019,4478691.52,4426805.460714286,4962948.194666667,2085121.797131014,9692427.0,3,8,16,33,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-17,4089284.05,3238908.92,0,15.223880708337935,14.990747386713938,5249978.18,3780293.26,4033912.16,3412496.65,9297269.95,5184141.46,4222455.97,2699279.56,4072012.16,3789376.634285714,778059.9871780905,5249978.18,4109487.6878571426,4988723.151,2083682.9255261596,9692427.0,4,8,17,33,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-18,3450015.71,2808916.94,0,15.053889632474071,14.848309892416518,4089284.05,5249978.18,3780293.26,2732604.35,6384195.03,6421487.11,3238908.92,2168668.05,5007270.91,3886060.5485714287,765368.7066113293,5249978.18,3737488.695,4952227.904,2089721.5354753644,9692427.0,5,8,18,33,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-19,3904300.93,3006801.4,0,15.177589562151692,14.9163877464759,3450015.71,4089284.05,5249978.18,3388181.83,2359224.19,5171470.46,2808916.94,2654275.25,4213989.64,3988547.885714286,619258.1397202748,5249978.18,3527904.457857143,4853178.857333333,2088100.4751148843,9692427.0,6,8,19,33,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-20,3541027.32,2827038.81,0,15.07992772880281,14.85474071864237,3904300.93,3450015.71,4089284.05,3928170.01,3630003.7,3442157.02,3006801.4,3189564.96,2746075.45,4062279.185714286,564134.7176804284,5249978.18,3638267.082142857,4810939.873,2094247.293419088,9692427.0,0,8,20,34,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-21,4147483.23,3364364.64,0,15.238012498748972,15.02874998620172,3541027.32,3904300.93,3450015.71,4033912.16,2240253.44,3117550.57,2827038.81,3258198.58,2531656.38,4006973.0871428573,597466.1444912966,5249978.18,3631911.6264285715,4814235.549666666,2092095.6792491963,9692427.0,1,8,21,34,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-22,4597682.81,3562468.33,0,15.34106321508556,15.085964494399178,4147483.23,3541027.32,3904300.93,3780293.26,2617553.36,4730517.69,3364364.64,2886923.59,3685006.66,4023197.5257142857,599856.8610691493,5249978.18,3768142.3257142855,4848566.638333334,2071643.7387515355,9692427.0,2,8,22,34,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-23,5478869.55,4195738.04,0,15.516409533667249,15.24958005399994,4597682.81,4147483.23,3541027.32,5249978.18,4478691.52,4096496.12,3562468.33,4222455.97,3248450.65,4139967.461428571,623772.6424724009,5249978.18,3909580.1435714285,4844138.809,2072046.6693576118,9692427.0,3,8,23,34,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-24,4637850.57,3632210.67,0,15.349761793266964,15.105352296190178,5478869.55,4597682.81,4147483.23,4089284.05,3412496.65,5246688.08,4195738.04,3238908.92,4140019.37,4172666.2285714285,693734.3870688606,5478869.55,3981021.431428571,4890217.923333333,2070217.0432582092,9692427.0,4,8,24,34,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-25,3589566.28,2784342.75,0,15.093542218380614,14.839522766233772,4637850.57,5478869.55,4597682.81,3450015.71,2732604.35,5851965.06,3632210.67,2808916.94,4579171.74,4251032.874285714,713449.2465590789,5478869.55,4068546.7114285715,4869923.339666667,2069586.180394813,9692427.0,5,8,25,34,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-26,4280204.53,3476942.48,0,15.269511587433044,15.061664155465298,3589566.28,4637850.57,5478869.55,3904300.93,3388181.83,5156699.45,2784342.75,3006801.4,3989402.2,4270968.67,688862.1621575912,5478869.55,4129758.277857143,4794510.047,2073783.108923139,9692427.0,6,8,26,34,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-27,3038895.84,2365260.68,0,14.927005125946003,14.676399220721713,4280204.53,3589566.28,4637850.57,3541027.32,3928170.01,4326956.84,3476942.48,2827038.81,3403662.59,4324669.184285714,669905.5062253146,5478869.55,4193474.185,4765293.549666666,2074678.5043211158,9692427.0,0,8,27,35,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-28,9508676.62,7439851.59,0,16.0677153733283,15.822361593440949,3038895.84,4280204.53,3589566.28,4147483.23,4033912.16,4804199.65,2365260.68,3364364.64,3819645.91,4252936.115714285,784829.0061274213,5478869.55,4129954.601428571,4722358.182999999,2097267.8664202364,9692427.0,1,8,28,35,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-29,9260558.32,7336294.54,0,16.041275006526114,15.80834457836651,9508676.62,3038895.84,4280204.53,4597682.81,3780293.26,6586130.95,7439851.59,3562468.33,5195109.56,5018820.885714286,2129216.247981561,9508676.62,4521009.205714285,4879174.082,2272184.5175446435,9692427.0,2,8,29,35,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-30,10086534.1,7950911.72,1,16.126711933949363,15.888797287587805,9260558.32,9508676.62,3038895.84,5478869.55,5249978.18,9151622.14,7336294.54,4195738.04,7142891.18,5684945.9585714275,2642924.2604166674,9508676.62,4912456.71,4968321.660999999,2390832.0535332146,9692427.0,3,8,30,35,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-08-31,9104678.52,7277460.12,1,16.02429907228165,15.800292612093656,10086534.1,9260558.32,9508676.62,4637850.57,4089284.05,9148357.3,7950911.72,3632210.67,7308514.33,6343183.7514285715,3114719.452716161,10086534.1,5257924.99,4999485.393000001,2452537.1779334075,10086534.1,4,8,31,35,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-01,8560208.92,6738335.17,1,15.962635271181718,15.723323593363334,9104678.52,10086534.1,9260558.32,3589566.28,3450015.71,9692427.0,7277460.12,2784342.75,7537501.15,6981302.03,3164284.8362573204,10086534.1,5616167.452142857,4998029.433666666,2450000.9048553435,10086534.1,5,9,1,35,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-02,2587099.44,1946097.28,1,14.766048285308198,14.481337044049946,8560208.92,9104678.52,10086534.1,4280204.53,3904300.93,9297269.95,6738335.17,3476942.48,7118808.46,7691393.835714285,2814712.9549171757,10086534.1,5981181.252857142,4960288.831,2382997.6208573105,10086534.1,6,9,2,35,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-03,3865505.01,3063431.08,1,15.167603152520917,14.935046440182308,2587099.44,8560208.92,9104678.52,3038895.84,3541027.32,6384195.03,1946097.28,2365260.68,5087528.11,7449521.68,3202700.6294741086,10086534.1,5887095.4321428565,4736616.480666667,2274319.8696815423,10086534.1,0,9,3,36,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-04,3645749.44,2876968.79,1,15.109072784264278,14.872248141957176,3865505.01,2587099.44,8560208.92,9508676.62,4147483.23,2359224.19,3063431.08,7439851.59,1863413.11,7567608.704285714,3023179.6535389884,10086534.1,5910272.409999999,4652660.1466666665,2257831.240118237,10086534.1,1,9,4,36,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-05,2398185.51,1966376.48,1,14.690223388859527,14.491703565328002,3645749.44,3865505.01,2587099.44,9260558.32,4597682.81,3630003.7,2876968.79,7336294.54,2922718.71,6730047.678571428,3202612.668804228,10086534.1,5874434.282142856,4695544.321666667,2224744.1113349567,10086534.1,2,9,5,36,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-06,2858227.37,2147909.96,0,14.865712539808015,14.580006281237749,2398185.51,3645749.44,3865505.01,10086534.1,5478869.55,2240253.44,1966376.48,7950911.72,1781265.84,5749708.705714285,3346004.126006396,10086534.1,5717327.332142858,4654483.715333332,2256232.792143869,10086534.1,3,9,6,36,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-07,3282753.8,2580035.06,0,15.004193505908896,14.763313933544312,2858227.37,2398185.51,3645749.44,9104678.52,4637850.57,2617553.36,2147909.96,7277460.12,1997006.42,4717093.458571428,2865397.347121636,9104678.52,5530138.6049999995,4675082.846333333,2236162.856229932,10086534.1,4,9,7,36,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-08,3666204.89,2804001.32,0,15.11466786783422,14.84655835452572,3282753.8,2858227.37,2398185.51,8560208.92,3589566.28,4478691.52,2580035.06,6738335.17,3621672.71,3885389.927142857,2130231.7548760828,8560208.92,5433345.978571429,4697256.1943333335,2218283.8048985177,10086534.1,5,9,8,36,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-09,4458501.42,3589475.8,0,15.310323487340373,15.093517011682064,3666204.89,3282753.8,2858227.37,2587099.44,4280204.53,3412496.65,2804001.32,1946097.28,2699279.56,3186246.4942857143,577324.6722993271,3865505.01,5438820.165,4670173.306666667,2225990.6738685756,10086534.1,6,9,9,36,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-10,4548962.79,3517300.88,0,15.330410026529254,15.073204742290605,4458501.42,3666204.89,3282753.8,3865505.01,3038895.84,2732604.35,3589475.8,3063431.08,2168668.05,3453589.634285714,678131.2047682648,4458501.42,5451555.657142856,4705040.132333334,2213770.2546690376,10086534.1,0,9,10,37,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-11,4021565.55,3264364.41,0,15.20718207374087,14.99857594039316,4548962.79,4458501.42,3666204.89,3645749.44,9508676.62,3388181.83,3517300.88,2876968.79,2654275.25,3551226.46,787676.8595732906,4548962.79,5559417.582142857,4765585.4136666665,2182583.6379429647,10086534.1,1,9,11,37,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-12,3335978.29,2673690.65,0,15.020276834407932,14.798970715858712,4021565.55,4548962.79,4458501.42,2398185.51,9260558.32,3928170.01,3264364.41,1966376.48,3189564.96,3604914.4757142854,807745.468908991,4548962.79,5167481.077142857,4786698.204333333,2171837.146917684,10086534.1,2,9,12,37,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-13,2609609.29,2103806.97,0,14.77471145397416,14.559259579663062,3335978.29,4021565.55,4548962.79,2858227.37,10086534.1,4033912.16,2673690.65,2147909.96,3258198.58,3738884.8728571427,633141.8823845107,4548962.79,4744296.789285714,4766958.480333333,2182574.003149405,10086534.1,3,9,13,37,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-14,3729228.43,2835412.27,0,15.13171218314657,14.857698258770396,2609609.29,3335978.29,4021565.55,3282753.8,9104678.52,3780293.26,2103806.97,2580035.06,2886923.59,3703368.0042857146,694752.6452394562,4548962.79,4210230.731428572,4719481.717999999,2214329.7143357177,10086534.1,4,9,14,37,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-15,3605125.64,2849539.9,0,15.097867457071697,14.862668451549515,3729228.43,2609609.29,3335978.29,3666204.89,8560208.92,5249978.18,2835412.27,2804001.32,4222455.97,3767150.0942857144,669746.5685044819,4548962.79,3826270.0107142855,4717779.557,2215096.06022033,10086534.1,5,9,15,37,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-16,4452012.44,3561492.95,0,15.30886701024094,15.085690663676656,3605125.64,3729228.43,2609609.29,4458501.42,2587099.44,4089284.05,2849539.9,3589475.8,3238908.92,3758424.4871428567,671675.9923404775,4548962.79,3472335.490714286,4662951.1389999995,2221815.3871769076,10086534.1,6,9,16,37,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-17,4811788.67,3932069.23,0,15.38657964564511,15.184676621229055,4452012.44,3605125.64,3729228.43,4548962.79,3865505.01,3450015.71,3561492.95,3517300.88,2808916.94,3757497.4899999998,670552.3038614474,4548962.79,3605543.562142857,4675042.085333333,2219571.72245414,10086534.1,0,9,17,38,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-18,5078878.07,4123200.89,0,15.440601139694843,15.232140577261973,4811788.67,4452012.44,3605125.64,4021565.55,3645749.44,3904300.93,3932069.23,3264364.41,3006801.4,3795044.0442857146,727219.2147986236,4811788.67,3673135.2521428573,4720434.517333333,2207547.055960315,10086534.1,1,9,18,38,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-19,3680241.62,3014323.76,0,15.118489237319697,14.918886402861588,5078878.07,4811788.67,4452012.44,3335978.29,2398185.51,3541027.32,4123200.89,2673690.65,2827038.81,3946088.6900000004,876575.0715399835,5078878.07,3775501.582857143,4759587.088666666,2202984.465931324,10086534.1,2,9,19,38,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-09-20,3763143.75,3080273.62,0,15.140765535484702,14.940529313312696,3680241.62,5078878.07,4811788.67,2609609.29,2858227.37,4147483.23,3014323.76,2103806.97,3364364.64,3995269.1657142863,845755.2902949138,5078878.07,3867077.019285714,4764227.565333334,2200474.3130321447,10086534.1,3,9,20,38,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
